Nom_Commercial,DCI,Dosage,Prix_DZD
RONIUM,ROCURONIUM BROMURE,50MG/5ML ( 10 MG/ML),0.0
ESMERON,ROCURONIUM BROMURE,50MG/5ML,0.0
GEASPIRIQUE,"ACIDE
ACETYLSALICYLIQUE",500MG,0.0
ASPIRINE BEKER,"ACIDE
ACETYLSALICYLIQUE",500MG,0.0
ACEPRAL,ACIDE ACETYLSALICYLIQUE,500MG,0.0
LYSOGIC,"ACETYLSALICYLATE DE
DL LYSINE EXPRIME EN","100MG/SACH.-
DOSE",0.0
ASPEGIC,"ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE
ACETYLSALICYLIQUE",500MG/FL. DE PDRE.,0.0
ASPIGAL 900,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,500MG/FL. DE PDRE.,0.0
ACEPRAL-L ENFANT,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,250MG/SACH.-DOSE,0.0
ASPEGIC ENFANT,"ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE
ACETYLSALICYLIQUE",250MG/SACH.-DOSE,0.0
ACEPRAL-L ADULTES,"ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE
ACETYLSALICYLIQUE",500MG/SACH.-DOSE,0.0
ASPEGIC 500,"ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE
ACETYLSALICYLIQUE",500MG/SACH.-DOSE,0.0
"ASPIRINE UPSA VITAMINE C TAMPONNEE
EFFERVESCENTE",ACIDE ACETYLSALICYLIQUE/ ACIDE ASCORBIQUE,330MG/200MG,0.0
ACEPRAL-L 1000MG,"ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE
ACETYLSALICYLIQUE",1G/SACH.-DOSE,0.0
ASPEGIC ADULTE,"ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE
ACETYLSALICYLIQUE",1G/SACH.-DOSE,0.0
ASPIRINE BIOTIC,ACIDE ACETYLSALICYLIQUE,100MG,0.0
ASPRO ACCEL,"ACIDE
ACETYLSALICYLIQUE /",500MG/50MG,0.0
ASPRO ACCEL,"ACIDE ACETYLSALICYLIQUE /
CAFEINE",500MG/50MG,0.0
ACEPRAL L-NOURRISSON,"ACETYLSALICYLATE DE
DL LYSINE EXPRIME EN ACIDE",100MG/SACH.-DOSE,0.0
ASPEGIC NOURRISSON,"ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE
ACETYLSALICYLIQUE",100MG/SACH.-DOSE,0.0
ANTI GRIP,"ACIDE ACETYLSALICYLIQUE / ACIDE ASCORBIQUE /
CAFEINE",450MG/20MG/20 MG,0.0
GEMAL,PARACETAMOL,500MG,0.0
EXPANDOL,PARACETAMOL,500MG,0.0
PAROL,PARACETAMOL,500MG,0.0
SAPRAMOL,PARACETAMOL,500MG,0.0
TYLENOL,PARACETAMOL,500MG,0.0
DOLICRANE,PARACETAMOL,500MG,0.0
MIGRAMOL,PARACETAMOL,500MG,0.0
PACET,PARACETAMOL,500MG,0.0
"PARACETAMOL
PHYSIOPHARM",PARACETAMOL,500MG,0.0
EFFERALGAN,PARACETAMOL,500MG,0.0
PARALGAN,PARACETAMOL,500MG,0.0
PARAMOL,PARACETAMOL,500MG,0.0
DOLIPRANE,PARACETAMOL,500MG,0.0
DOLI-BIEN,PARACETAMOL,500MG,0.0
PLANADIX LIQUIZ,PARACETAMOL,300MG/STICK,0.0
PLANADIX LIQUIZ,PARACETAMOL,200MG/STICK,0.0
PARACETAL,PARACETAMOL,500MG,0.0
DOFEBRIL,PARACETAMOL,500MG,0.0
DOLYC,PARACETAMOL,500MG,0.0
"PARACETAMOL
IVAL",PARACETAMOL,500MG,0.0
"PARACETAMOL
BIOCARE",PARACETAMOL,100MG,0.0
EXPANDOL,PARACETAMOL,100MG,0.0
SAPRAMOL,PARACETAMOL,100MG,0.0
ISOMOL,PARACETAMOL,100MG/5ML,0.0
DOLIPRANE,PARACETAMOL,100MG,0.0
PARACETAMOL PHYSIOPHARM,PARACETAMOL,100MG,0.0
SUPPFADOL 100,PARACETAMOL,100MG,0.0
GEMAL,PARACETAMOL,100MG,0.0
PAROL,PARACETAMOL,100MG,0.0
DOLPRIV,PARACETAMOL,100MG,0.0
PARALGAN,PARACETAMOL,100MG,0.0
PARALGAN,PARACETAMOL,120MG,0.0
CETALGINE,PARACETAMOL,100MG,0.0
DOLIPRANE,PARACETAMOL,100MG,0.0
DOLYMEX,PARACETAMOL,100MG,0.0
PANADOL,PARACETAMOL,500MG,0.0
DOFEBRIL,PARACETAMOL,500MG,0.0
COEXPANDOL,Paracétamol / Codéine phosphate hémihydraté,400MG/20MG,0.0
COPRALGIR,Paracétamol / Codéine phosphate hémihydraté,400MG/20MG,0.0
PARAC-CO,"PARACETAMOL
/PHOSPHATE DE CODEINE HEMIHYDRATE",400MG/20MG,0.0
CODOLIPRANE,Paracétamol / Codéine phosphate hémihydraté,400MG/20MG,0.0
COPARALGAN,Paracétamol / Codéine phosphate hémihydraté,400MG/20MG,0.0
COPARAMOL,Paracétamol / Codéine phosphate hémihydraté,400MG/20MG,0.0
CODOFEBRIL,"PARACETAMOL/CODEIN E PHOSPHATE
HEMIHYDRATE",500 MG/30 MG,0.0
DAFALGAN CODEINE,Paracétamol / Codéine phosphate hémihydraté,500MG/30MG,0.0
CODOLIPRANE,Paracétamol / Codéine phosphate hémihydraté,500MG/30MG,0.0
COPARAMOL FORT,PARACETAMOL/CODEIN E PHOSPHATE HEMIHYDRATE,500MG/30MG,0.0
PLANADIX CONFORT +,Paracétamol / Codéine phosphate hémihydraté,500MG/30MG,0.0
DOFEBRIL C,PARACETAMOL / ACIDE ASCORBIQUE,330MG/200MG,0.0
